System,Method,Reward (↑),IQM,95% CI,Violation (↓),Loss (↓),N Seeds,_reward_mean,_method_key
13Bus,Specialist (Ours),-2.98 ± 0.31,-3.17,"[-3.25, -2.71]",0.0203 ± 0.0178,0.0170,5,-2.9771177047595017,specialist
13Bus,Monolithic PPO,-60.54 ± 19.48,-66.72,"[-76.91, -43.46]",0.0473 ± 0.0597,0.0176,5,-60.541305740737684,monolithic
13Bus,MAPPO,-2.57 ± 0.06,-2.58,"[-2.64, -2.52]",0.0020 ± 0.0016,0.0167,5,-2.571313671365987,mappo
13Bus,MADDPG,-2.56 ± 0.03,-2.57,"[-2.60, -2.54]",0.0002 ± 0.0004,0.0168,5,-2.562383119764127,maddpg
13Bus,Heuristic (Rule-Based),-29.33 ± 0.00,-29.33,"[-29.33, -29.33]",0.0005 ± 0.0000,0.0173,5,-29.334161951897112,heuristic
13Bus,OpenDSS Auto + Droop,-23.97 ± 0.51,-24.34,"[-24.40, -23.51]",0.0000 ± 0.0000,0.0151,5,-23.973744496921814,opendss_auto
13Bus,Model-based OPF,-26.59 ± 0.89,-26.68,"[-27.64, -25.98]",0.0026 ± 0.0015,0.0172,5,-26.588730424072338,Model-based OPF
34Bus,Specialist (Ours),-15.05 ± 4.31,-16.32,"[-19.24, -11.77]",0.0103 ± 0.0041,0.0723,5,-15.054458004157985,specialist
34Bus,Monolithic PPO,-96.87 ± 48.84,-103.01,"[-148.43, -58.70]",0.4656 ± 0.3494,0.0809,5,-96.87037132162624,monolithic
34Bus,MAPPO,-20.20 ± 18.76,-12.01,"[-48.24, -10.34]",0.0204 ± 0.0303,0.0791,5,-20.19558879621698,mappo
34Bus,MADDPG,-23.49 ± 7.29,-25.57,"[-31.18, -17.88]",0.1623 ± 0.1985,0.0640,5,-23.48963542169545,maddpg
34Bus,Heuristic (Rule-Based),-79.15 ± 0.00,-79.15,"[-79.15, -79.15]",0.2763 ± 0.0000,0.1078,5,-79.14788427980514,heuristic
34Bus,OpenDSS Auto + Droop,-25.14 ± 0.18,-25.26,"[-25.27, -24.96]",0.0017 ± 0.0000,0.0711,5,-25.136906439620624,opendss_auto
34Bus,Model-based OPF,-14.09 ± 0.47,-14.37,"[-14.50, -13.67]",0.0077 ± 0.0009,0.0678,5,-14.085985403348014,Model-based OPF
123Bus,Specialist (Ours),-3.60 ± 0.99,-3.64,"[-4.69, -2.86]",0.0035 ± 0.0066,0.0158,5,-3.5978015016118237,specialist
123Bus,Monolithic PPO,-170.25 ± 75.26,-169.41,"[-261.13, -123.11]",0.2697 ± 0.1558,0.0147,5,-170.250113911049,monolithic
123Bus,MAPPO,-3.65 ± 1.77,-3.25,"[-6.08, -2.69]",0.0013 ± 0.0016,0.0141,5,-3.653992723955853,mappo
123Bus,MADDPG,-3.66 ± 1.16,-3.92,"[-4.66, -2.72]",0.0549 ± 0.0674,0.0158,5,-3.6593967553443427,maddpg
123Bus,Heuristic (Rule-Based),-30.93 ± 0.00,-30.93,"[-30.93, -30.93]",0.0000 ± 0.0000,0.0142,5,-30.93325671683197,heuristic
123Bus,OpenDSS Auto + Droop,-27.69 ± 0.09,-27.76,"[-27.76, -27.61]",0.0000 ± 0.0000,0.0140,5,-27.685503481471347,opendss_auto
123Bus,Model-based OPF,-23.69 ± 0.11,-23.68,"[-23.82, -23.60]",0.0000 ± 0.0000,0.0141,5,-23.685582899152426,Model-based OPF
