#{"t_start": 1768498935.0965388, "env_id": "None"}
r,l,t
-46.007468,24,0.029373
-46.610057,24,0.051491
-41.268939,24,0.073146
-46.313837,24,0.094663
-44.036411,24,0.116479
-40.647483,24,0.138094
-36.724617,24,0.159567
-45.897137,24,0.180994
-46.655577,24,0.202468
-46.412649,24,0.223872
-48.397602,24,0.245303
-47.819276,24,0.266741
-44.764361,24,0.288159
-46.404562,24,0.309547
-49.712409,24,0.330978
-44.509094,24,0.352738
-49.759097,24,0.375015
-45.572983,24,0.396942
-41.571616,24,0.418647
-41.603202,24,0.440425
-48.010414,24,0.461906
-41.599356,24,0.483364
-42.442778,24,0.504843
-44.254505,24,0.526351
-50.406777,24,0.54788
-40.551277,24,0.569436
-40.960961,24,0.590824
-41.351262,24,0.612244
-45.75021,24,0.633817
-46.040192,24,0.655572
-47.958825,24,0.677053
-41.815499,24,0.698403
-37.483167,24,0.719806
-35.52229,24,0.741143
-48.820335,24,0.762517
-40.42991,24,0.783891
-36.027149,24,0.805313
-39.43177,24,0.826702
-42.244482,24,0.84818
-47.261299,24,0.869689
-39.449526,24,0.891352
-43.727377,24,0.912974
-39.975823,24,0.934535
-41.756559,24,0.95616
-46.711575,24,0.977356
-48.060313,24,0.998773
-48.114085,24,1.020296
-49.470783,24,1.041749
-49.513182,24,1.063403
-46.976083,24,1.084871
-50.343017,24,1.106377
-47.01433,24,1.127805
-42.315864,24,1.149363
-43.097661,24,1.170754
-39.833447,24,1.19212
-47.938911,24,1.213542
-44.81671,24,1.234889
-40.569602,24,1.256222
-36.322399,24,1.27756
-48.370341,24,1.298909
-43.34446,24,1.320366
-43.212884,24,1.341834
-42.835816,24,1.364204
-40.120521,24,1.386233
-46.41277,24,1.40794
-40.090759,24,1.429677
-48.434683,24,1.451309
-39.451461,24,1.472769
-45.807639,24,1.494167
-45.46361,24,1.515828
-41.252992,24,1.537295
-42.839159,24,1.558885
-45.673645,24,1.580356
-42.289018,24,1.601788
-45.26824,24,1.623223
-44.7551,24,1.644668
-45.282913,24,1.666258
-45.986265,24,1.68762
-50.262282,24,1.708971
-44.828146,24,1.730358
-48.994282,24,1.751711
-47.331366,24,1.77319
-34.865152,24,1.794559
-45.838539,24,1.816089
-43.149083,24,1.8375
-43.371443,24,2.577857
-40.455131,24,2.601344
-36.527332,24,2.624065
-38.269615,24,2.646916
-46.594599,24,2.669552
-40.241727,24,2.692301
-46.455539,24,2.714989
-42.504333,24,2.737512
-43.380212,24,2.760106
-43.450569,24,2.782664
-41.431957,24,2.805205
-39.153841,24,2.82792
-41.517049,24,2.850488
-43.184996,24,2.873031
-39.866488,24,2.895663
-42.243539,24,2.918135
-49.505171,24,2.940897
-43.603165,24,2.963713
-41.220154,24,2.986276
-44.896235,24,3.008693
-45.740446,24,3.031301
-45.402687,24,3.053883
-45.767493,24,3.076396
-43.523182,24,3.098868
-45.148858,24,3.121433
-47.793253,24,3.143869
-40.807489,24,3.166287
-38.734974,24,3.188844
-42.927983,24,3.211414
-41.626368,24,3.233919
-37.556034,24,3.2564
-42.340329,24,3.279039
-45.83042,24,3.301438
-43.92896,24,3.323839
-41.045254,24,3.346348
-45.470003,24,3.368954
-42.246285,24,3.391421
-46.354595,24,3.413862
-42.634341,24,3.436417
-38.26202,24,3.459263
-48.405136,24,3.481897
-40.700087,24,3.50437
-37.421107,24,3.526975
-44.801959,24,3.549513
-42.767728,24,3.572072
-45.060884,24,3.594464
-44.631306,24,3.616946
-44.158329,24,3.639501
-39.569798,24,3.661909
-41.441251,24,3.684434
-52.306397,24,3.706998
-44.965398,24,3.729509
-44.003788,24,3.751983
-40.27182,24,3.774469
-40.962805,24,3.79686
-39.906297,24,3.819313
-37.310071,24,3.841894
-42.35901,24,3.864445
-46.181812,24,3.886932
-40.458431,24,3.909363
-39.415329,24,3.931969
-42.514113,24,3.954627
-46.093264,24,3.977225
-38.628981,24,3.999761
-41.313258,24,4.022255
