#{"t_start": 1768498912.038433, "env_id": "None"}
r,l,t
-79.31286,144,0.53332
-68.762576,144,0.566919
-73.986703,144,0.603035
-98.158968,144,0.638826
-68.943985,144,0.674748
-90.011932,144,0.710284
-80.712124,144,0.745771
-82.925154,144,0.779882
-67.875545,144,0.812919
-89.216527,144,0.847679
-78.231465,144,0.882544
-80.275736,144,0.917581
-86.991343,144,0.950502
-72.236782,144,0.982846
-60.886595,144,1.465318
-63.033702,144,1.499399
-70.191716,144,1.532085
-58.017801,144,1.564588
-61.77251,144,1.597111
-71.814229,144,1.629778
-77.216637,144,1.662352
-64.427374,144,1.694832
-58.507554,144,1.727178
-52.689193,144,1.759531
-61.052879,144,1.79237
-79.264387,144,1.827132
-63.282787,144,1.862431
-83.853887,144,1.895085
-59.044685,144,2.339895
-46.903439,144,2.373323
-47.449508,144,2.406135
-53.245237,144,2.438858
-37.448616,144,2.471258
-72.218174,144,2.503498
-66.191694,144,2.535692
-69.172352,144,2.568121
-57.983978,144,2.600581
-74.26973,144,2.633094
-58.252171,144,2.665546
-62.870431,144,2.697922
-64.044756,144,2.730214
-74.408564,144,2.762484
-43.834296,144,3.206924
-60.780646,144,3.240904
-61.911381,144,3.273983
-72.619701,144,3.306888
-66.472382,144,3.339518
-49.42122,144,3.372513
-60.983994,144,3.405644
-44.868505,144,3.438495
-49.67399,144,3.471342
-59.1327,144,3.504044
-62.242251,144,3.536862
-34.983269,144,3.569413
-55.469397,144,3.602417
-55.732189,144,3.635427
-48.392801,144,4.09217
-58.832068,144,4.126508
-47.306914,144,4.160392
-71.272862,144,4.194066
-53.228969,144,4.227572
-44.832734,144,4.260908
-51.548425,144,4.294298
-37.368325,144,4.3276
-70.670239,144,4.361085
-32.262649,144,4.394482
-46.716592,144,4.427908
-44.522203,144,4.461556
-38.43874,144,4.494675
-57.02697,144,4.527919
-63.222429,144,4.561098
-58.885555,144,5.003748
-60.109712,144,5.037964
-32.397106,144,5.071481
-40.324862,144,5.104999
-32.644794,144,5.138358
-57.91694,144,5.171704
-41.875222,144,5.205105
-40.864838,144,5.238247
-63.868864,144,5.271748
-47.612367,144,5.304902
-40.31644,144,5.338456
-44.852205,144,5.372834
-62.19087,144,5.406878
-44.346934,144,5.440424
-36.660521,144,5.890511
-48.655609,144,5.924864
-42.240332,144,5.958696
-27.223277,144,5.992114
-47.362675,144,6.025602
-43.758948,144,6.058984
-30.680464,144,6.092341
-32.541143,144,6.125728
-43.283062,144,6.159312
-55.663377,144,6.19268
-36.969124,144,6.225915
-34.329277,144,6.259196
-44.35029,144,6.292325
-32.892082,144,6.325807
-30.381805,144,6.769991
-42.879958,144,6.803383
-32.26883,144,6.835751
-40.96026,144,6.868221
-23.680761,144,6.900578
-43.322998,144,6.933154
-53.995656,144,6.965564
-38.681494,144,6.997856
-41.011364,144,7.030281
-41.223647,144,7.062535
-33.156761,144,7.094891
-38.452968,144,7.127334
-41.206592,144,7.159769
-38.403987,144,7.192034
-36.163982,144,7.632972
-18.911698,144,7.666768
-37.521474,144,7.700012
-49.831243,144,7.73309
-45.269241,144,7.76604
-33.934265,144,7.799057
-37.232699,144,7.831845
-27.933753,144,7.864892
-37.158873,144,7.897936
-42.466806,144,7.931014
-24.630503,144,7.963828
-23.279729,144,7.996873
-19.482006,144,8.029771
-48.063303,144,8.062918
-34.872788,144,8.09595
-29.280196,144,8.538793
-30.181124,144,8.572064
-30.849168,144,8.60462
-28.138946,144,8.63733
-39.512541,144,8.669786
-46.224887,144,8.702125
-25.825413,144,8.734478
-16.442831,144,8.766863
-47.532265,144,8.799238
-38.823071,144,8.831496
-44.795886,144,8.863778
-25.981254,144,8.896022
-41.176451,144,8.928368
-45.589784,144,8.960759
-29.247329,144,9.401561
-34.908124,144,9.435585
-17.633878,144,9.468583
-31.947221,144,9.501072
-18.802207,144,9.533473
-47.552472,144,9.569677
-37.154266,144,9.627028
-30.032537,144,9.661607
-38.652241,144,9.696201
-25.88674,144,9.731
-21.315122,144,9.766141
-36.242673,144,9.806363
-32.168366,144,9.840168
-34.222728,144,9.873464
-32.603706,144,10.318024
-21.302412,144,10.35147
-28.969787,144,10.385331
-37.042923,144,10.418295
-30.338377,144,10.450963
-29.946446,144,10.483579
-18.834503,144,10.515922
-32.594926,144,10.548301
-29.334886,144,10.580663
-23.555351,144,10.612943
-29.976994,144,10.645302
-21.94841,144,10.677601
-22.281868,144,10.710016
-46.081539,144,10.742883
-32.349538,144,11.185037
-17.847855,144,11.21956
-29.724801,144,11.253317
-18.208996,144,11.287004
-22.929248,144,11.320591
-26.216114,144,11.354214
-25.467038,144,11.387725
-24.416292,144,11.42114
-24.852731,144,11.454871
-18.175029,144,11.48856
-22.140057,144,11.522158
-15.108211,144,11.555527
-36.956452,144,11.588959
-18.648499,144,11.622532
-29.618494,144,12.065052
-21.719808,144,12.098457
-17.135285,144,12.131045
-21.202101,144,12.163471
-24.474184,144,12.196001
-14.832818,144,12.228234
-21.287745,144,12.260507
-15.758925,144,12.292741
-21.551728,144,12.325096
-31.222586,144,12.357391
-20.887596,144,12.389712
-13.509579,144,12.421913
-23.710077,144,12.454427
-12.006992,144,12.487015
-22.209726,144,12.519193
-10.23817,144,12.969033
-9.564233,144,13.002367
-22.341742,144,13.034761
-13.958497,144,13.067013
-16.880777,144,13.099276
-17.115907,144,13.131737
-14.176895,144,13.164068
-17.292694,144,13.196458
-10.244289,144,13.22877
-21.200958,144,13.260987
-23.328638,144,13.293237
-16.960461,144,13.325458
-10.930248,144,13.3576
-18.381244,144,13.389841
-14.255145,144,13.832434
-12.575863,144,13.867063
-16.099066,144,13.901003
-15.196498,144,13.934862
-17.990446,144,13.96873
-25.50912,144,14.002587
-11.203083,144,14.03646
-11.887661,144,14.069656
-14.038153,144,14.102352
-19.122801,144,14.134732
-8.680131,144,14.16709
-10.955454,144,14.199431
-16.267715,144,14.231831
-25.718911,144,14.263983
-13.244024,144,14.705433
-15.045526,144,14.738534
-10.960527,144,14.771128
-7.87109,144,14.803728
-15.514964,144,14.836214
-15.580167,144,14.868617
-18.970466,144,14.901034
-19.184008,144,14.933486
-8.092258,144,14.965905
-18.989379,144,14.998582
-24.190611,144,15.031048
-12.755583,144,15.063456
-14.942518,144,15.095769
-14.996794,144,15.128373
-12.56159,144,15.571854
-9.604227,144,15.6052
-22.546058,144,15.637857
-13.152357,144,15.670386
-8.442818,144,15.702748
-15.392711,144,15.735205
-12.42031,144,15.767599
-6.605799,144,15.799937
-7.371331,144,15.832203
-8.123717,144,15.864467
-11.905146,144,15.89669
-13.543491,144,15.928965
-12.511674,144,15.961253
-12.03807,144,15.993702
-10.768904,144,16.025943
-12.200981,144,16.465779
-12.382517,144,16.499847
-9.575695,144,16.53328
-7.135281,144,16.56667
-15.924721,144,16.599945
-11.822294,144,16.633387
-16.003938,144,16.666706
-19.098695,144,16.699997
-13.67297,144,16.733419
-7.694505,144,16.766562
-14.539261,144,16.800889
-18.883088,144,16.834993
-10.691938,144,16.868352
-14.38906,144,16.90166
-10.952613,144,17.35086
-11.189051,144,17.385442
-7.67508,144,17.421538
-8.61746,144,17.458892
-18.998144,144,17.494555
-17.018007,144,17.529135
-12.164856,144,17.563232
-9.210128,144,17.597314
-6.401104,144,17.631421
-11.254154,144,17.665452
-14.907215,144,17.699391
-11.759058,144,17.733141
-16.554566,144,17.766955
-17.815562,144,17.800469
-6.488419,144,18.246654
-7.170279,144,18.281097
-3.379224,144,18.314751
-7.513192,144,18.348247
-11.741051,144,18.381663
-10.766651,144,18.418674
-17.37008,144,18.453137
-12.004095,144,18.489814
-5.01645,144,18.524737
-8.427723,144,18.55764
-7.431379,144,18.590312
-14.00384,144,18.622888
-6.114287,144,18.655259
-12.798921,144,18.687686
-12.052584,144,19.135943
-15.85801,144,19.172531
-7.272656,144,19.211384
-12.741561,144,19.244779
-3.429149,144,19.277432
-13.314779,144,19.310055
-8.357586,144,19.342566
-4.758978,144,19.374966
-7.530908,144,19.407368
-8.637397,144,19.439768
-5.158358,144,19.472319
-4.443846,144,19.50489
-13.227757,144,19.537397
-6.926788,144,19.569657
